Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,374,Research & Development,26,1,Life Sciences,1,25,4,Female,57,4,1,Healthcare Representative,4,Single,19392,4519,2,Y,No,21,3,2,80,1,9,2,2,16,8,6,16
39,No,Travel_Rarely,517,Research & Development,9,2,Life Sciences,1,26,2,Male,85,3,3,Research Scientist,3,Divorced,8435,17105,7,Y,Yes,17,3,2,80,0,23,1,3,9,6,3,0
42,No,Travel_Rarely,607,Human Resources,16,3,Life Sciences,1,27,4,Female,88,3,1,Laboratory Technician,3,Single,5504,21637,3,Y,Yes,24,3,2,80,1,24,4,2,9,9,4,1
44,No,Travel_Rarely,834,Research & Development,19,3,Medical,1,28,4,Male,34,3,4,Sales Executive,1,Single,1278,2491,6,Y,No,20,3,4,80,1,26,5,2,8,8,6,7
59,No,Travel_Rarely,525,Research & Development,18,3,Life Sciences,1,29,4,Male,83,4,1,Research Scientist,3,Single,11056,23779,2,Y,Yes,18,3,3,80,1,5,3,2,4,4,4,4
45,No,Travel_Rarely,491,Research & Development,9,3,Life Sciences,1,30,2,Male,73,3,2,Sales Executive,3,Single,19048,13200,7,Y,No,25,4,3,80,3,7,2,4,6,5,6,6
33,No,Travel_Rarely,443,Research & Development,16,3,Life Sciences,1,31,4,Female,71,4,3,Laboratory Technician,4,Single,3542,23880,2,Y,No,13,3,4,80,0,20,5,2,1,1,1,1
32,No,Travel_Frequently,1047,Research & Development,13,2,Other,1,32,3,Female,86,2,2,Sales Executive,4,Married,16948,26178,4,Y,No,17,3,2,80,1,40,3,3,24,10,5,2
20,No,Travel_Rarely,715,Research & Development,10,4,Marketing,1,33,1,Male,76,2,1,Manager,4,Married,13355,19038,0,Y,No,18,3,1,80,1,18,3,3,30,13,11,14
54,No,Travel_Rarely,594,Human Resources,25,3,Medical,1,34,4,Male,54,3,3,Laboratory Technician,2,Divorced,11323,10475,4,Y,No,20,3,3,80,0,33,4,2,19,15,8,3
24,No,Travel_Frequently,293,Research & Development,20,1,Technical Degree,1,35,4,Male,73,3,3,Healthcare Representative,4,Single,12362,10490,5,Y,Yes,25,3,3,80,0,38,2,2,10,1,9,10
38,No,Travel_Rarely,600,Research & Development,14,1,Life Sciences,1,36,3,Male,44,3,4,Research Scientist,3,Married,19797,13301,6,Y,No,16,3,3,80,1,22,3,4,10,1,10,10
26,No,Travel_Rarely,923,Research & Development,12,5,Technical Degree,1,37,3,Male,80,3,1,Research Scientist,4,Married,3210,23577,1,Y,No,14,3,1,80,2,12,5,3,7,4,7,5
56,No,Travel_Frequently,1358,Research & Development,25,2,Medical,1,38,1,Male,82,3,2,Sales Executive,2,Married,6668,5465,1,Y,No,23,3,3,80,2,38,1,2,2,2,2,2
35,No,Travel_Frequently,328,Research & Development,19,4,Life Sciences,1,39,3,Female,63,2,1,Laboratory Technician,3,Married,2162,5135,8,Y,No,16,3,2,80,1,27,4,2,5,5,4,5
21,No,Travel_Rarely,1496,Sales,7,1,Technical Degree,1,40,3,Female,37,4,1,Laboratory Technician,4,Divorced,5170,8938,9,Y,No,19,3,2,80,1,5,3,3,40,9,3,0
42,Yes,Travel_Rarely,240,Research & Development,23,4,Technical Degree,1,41,3,Male,99,2,3,Laboratory Technician,4,Single,16512,11991,0,Y,No,13,3,2,80,1,11,5,3,1,1,1,1
31,Yes,Non-Travel,957,Sales,15,4,Technical Degree,1,42,3,Male,50,4,1,Healthcare Representative,3,Married,18729,23876,1,Y,No,25,3,3,80,0,2,2,2,9,8,3,9
26,No,Travel_Rarely,918,Research & Development,16,3,Life Sciences,1,43,4,Female,36,3,2,Manager,4,Divorced,4487,19190,1,Y,No,12,3,3,80,0,19,4,2,28,3,2,17
43,No,Travel_Rarely,1274,Sales,27,1,Other,1,44,3,Female,85,3,2,Healthcare Representative,1,Single,17669,5550,9,Y,Yes,15,3,2,80,1,40,3,3,6,6,6,0
19,No,Travel_Frequently,1240,Research & Development,8,2,Other,1,45,4,Female,78,3,3,Sales Executive,4,Single,3370,12970,6,Y,Yes,17,3,4,80,1,7,3,3,11,1,6,0
37,No,Travel_Rarely,1188,Sales,10,3,Life Sciences,1,46,4,Female,71,2,4,Manufacturing Director,3,Single,11169,25425,5,Y,No,13,3,4,80,0,25,2,1,24,13,15,8
45,Yes,Travel_Rarely,205,Sales,4,3,Life Sciences,1,47,3,Female,52,3,2,Sales Executive,1,Married,3455,6500,8,Y,No,15,4,3,80,0,37,4,1,9,0,4,9
24,Yes,Travel_Rarely,972,Research & Development,19,2,Life Sciences,1,48,1,Male,81,2,2,Healthcare Representative,1,Single,12940,15259,6,Y,No,14,4,4,80,0,27,2,3,17,6,0,2
25,No,Travel_Frequently,769,Research & Development,19,1,Other,1,49,1,Male,82,2,3,Research Scientist,1,Single,8610,13885,2,Y,Yes,21,3,4,80,1,34,4,2,4,3,4,4
52,No,Travel_Rarely,374,Sales,28,3,Medical,1,50,4,Female,45,2,2,Sales Executive,4,Married,6060,15238,2,Y,Yes,17,4,3,80,1,40,3,2,17,8,10,16
31,No,Travel_Rarely,1131,Research & Development,21,3,Life Sciences,1,51,2,Male,66,3,1,Sales Representative,1,Married,4526,9743,0,Y,Yes,12,3,3,80,0,40,4,3,0,0,0,0
34,No,Travel_Rarely,1272,Research & Development,27,2,Life Sciences,1,52,3,Male,47,3,1,Manufacturing Director,3,Single,5811,5971,7,Y,No,22,3,4,80,0,37,2,3,1,1,1,1
53,Yes,Travel_Rarely,285,Sales,15,1,Life Sciences,1,53,2,Male,49,3,1,Research Scientist,2,Single,13399,22000,0,Y,No,21,3,3,80,0,1,2,3,12,9,0,5
57,No,Travel_Rarely,1153,Sales,14,5,Medical,1,54,2,Female,75,4,2,Sales Executive,3,Married,19768,7745,1,Y,Yes,23,3,2,80,0,6,3,3,6,6,3,0
21,Yes,Travel_Frequently,1244,Research & Development,1,3,Medical,1,55,3,Female,31,3,3,Laboratory Technician,4,Divorced,8859,14912,6,Y,No,17,3,3,80,1,40,3,3,24,3,9,11
19,No,Travel_Rarely,394,Research & Development,16,4,Other,1,56,4,Male,92,3,1,Research Director,3,Married,7753,6206,0,Y,No,22,3,2,80,0,24,3,2,4,4,3,3
23,No,Travel_Rarely,1496,Sales,10,3,Marketing,1,57,3,Male,32,3,2,Laboratory Technician,3,Divorced,16426,6659,3,Y,No,12,3,3,80,1,31,4,2,19,16,10,15
59,No,Travel_Frequently,1369,Research & Development,19,1,Technical Degree,1,58,4,Female,75,3,4,Human Resources,3,Married,7257,23384,8,Y,No,13,3,2,80,1,11,2,2,1,1,1,1
21,No,Travel_Rarely,1343,Human Resources,22,2,Life Sciences,1,59,4,Male,78,3,3,Sales Executive,3,Single,18364,23901,7,Y,Yes,15,3,2,80,1,10,4,4,34,5,8,9
46,No,Non-Travel,278,Research & Development,3,3,Life Sciences,1,60,2,Male,30,2,2,Laboratory Technician,4,Married,16437,7071,7,Y,Yes,17,3,1,80,0,9,2,3,5,0,0,5
35,No,Travel_Rarely,1424,Research & Development,5,4,Medical,1,61,2,Female,51,4,1,Manager,2,Divorced,8145,21156,2,Y,No,23,3,4,80,0,34,2,2,2,2,2,1
43,No,Travel_Rarely,159,Research & Development,9,3,Life Sciences,1,62,4,Male,43,3,1,Laboratory Technician,2,Married,10526,10869,4,Y,No,16,3,2,80,0,3,5,2,20,12,12,7
51,No,Travel_Rarely,1394,Human Resources,18,2,Life Sciences,1,63,4,Male,74,2,1,Sales Executive,4,Divorced,12809,23419,3,Y,No,22,3,1,80,3,1,3,3,35,2,8,0
27,No,Non-Travel,409,Research & Development,11,5,Other,1,64,3,Female,35,3,1,Laboratory Technician,2,Divorced,14426,25807,7,Y,Yes,17,3,1,80,2,27,4,1,33,1,15,6
53,Yes,Travel_Rarely,1413,Research & Development,16,3,Medical,1,65,4,Male,94,1,1,Manufacturing Director,4,Single,4976,12282,6,Y,No,21,3,3,80,0,13,2,3,2,2,2,2
31,No,Travel_Rarely,1078,Research & Development,2,5,Life Sciences,1,66,1,Female,50,2,2,Healthcare Representative,2,Single,13370,2935,6,Y,No,16,3,4,80,1,28,1,4,14,11,6,3
48,No,Travel_Rarely,1230,Research & Development,12,5,Life Sciences,1,67,2,Male,33,2,1,Healthcare Representative,4,Single,5960,12661,9,Y,No,23,3,2,80,0,1,3,2,9,1,8,9
32,Yes,Travel_Rarely,1353,Sales,22,2,Life Sciences,1,68,3,Male,32,3,1,Healthcare Representative,1,Married,5011,6132,9,Y,No,22,3,1,80,0,33,3,2,17,10,10,1
25,No,Travel_Rarely,1372,Research & Development,6,3,Other,1,69,3,Male,59,3,1,Manufacturing Director,2,Single,3341,3898,6,Y,Yes,11,4,3,80,1,32,0,1,7,7,6,1
31,No,Non-Travel,801,Research & Development,11,3,Life Sciences,1,70,1,Male,60,3,2,Sales Executive,2,Divorced,12469,11015,0,Y,Yes,25,3,3,80,0,19,2,2,7,4,1,7
40,No,Travel_Rarely,184,Research & Development,27,3,Life Sciences,1,71,3,Female,63,1,2,Research Scientist,4,Single,5384,6443,6,Y,No,15,3,2,80,1,29,2,3,29,16,5,6
57,Yes,Travel_Frequently,1311,Research & Development,8,3,Medical,1,72,1,Female,49,3,2,Healthcare Representative,4,Single,1694,11749,3,Y,Yes,22,3,2,80,1,25,3,1,28,2,12,7
38,No,Travel_Rarely,353,Research & Development,12,5,Life Sciences,1,73,3,Female,83,3,1,Research Director,3,Single,18361,17000,2,Y,No,11,3,3,80,1,19,5,3,20,13,5,16
33,Yes,Travel_Rarely,1480,Sales,29,4,Life Sciences,1,74,4,Male,54,2,1,Sales Executive,4,Divorced,3042,16973,4,Y,Yes,17,3,2,80,3,0,3,3,16,15,2,16
35,Yes,Travel_Rarely,897,Research & Development,27,2,Life Sciences,1,75,4,Female,44,3,1,Laboratory Technician,4,Married,8084,7040,1,Y,Yes,14,3,4,80,2,0,4,4,14,14,3,6
41,No,Travel_Rarely,998,Research & Development,2,1,Life Sciences,1,76,4,Male,67,2,1,Research Scientist,4,Divorced,15656,12453,7,Y,No,15,3,1,80,2,24,0,3,0,0,0,0
43,No,Travel_Frequently,311,Sales,9,3,Life Sciences,1,77,3,Female,52,2,4,Research Scientist,4,Divorced,1654,25596,8,Y,Yes,11,3,2,80,1,32,4,2,18,3,10,14
42,No,Non-Travel,917,Sales,15,2,Life Sciences,1,78,3,Female,81,3,5,Laboratory Technician,1,Married,5130,8751,4,Y,No,18,4,4,80,0,22,2,2,12,8,5,1
58,No,Travel_Rarely,710,Human Resources,2,4,Technical Degree,1,79,1,Male,95,3,2,Manufacturing Director,4,Single,9121,18083,2,Y,No,25,3,4,80,2,10,3,3,3,3,0,3
46,No,Travel_Rarely,548,Sales,29,3,Life Sciences,1,80,3,Male,86,2,4,Sales Executive,3,Single,10280,20050,9,Y,Yes,14,3,1,80,3,14,1,2,23,4,9,16
32,No,Travel_Rarely,561,Sales,1,3,Marketing,1,81,2,Male,86,2,2,Manager,1,Single,7445,15360,6,Y,No,13,3,4,80,1,13,3,2,24,10,7,12
18,No,Non-Travel,1069,Human Resources,10,1,Technical Degree,1,82,4,Male,81,2,1,Manager,2,Married,13526,8334,0,Y,Yes,11,3,4,80,3,0,4,4,34,12,8,3
42,No,Travel_Rarely,573,Research & Development,2,4,Medical,1,83,4,Female,64,2,5,Research Director,4,Single,11301,23444,9,Y,No,14,3,2,80,0,32,3,1,5,1,1,5
24,No,Travel_Rarely,471,Research & Development,12,1,Life Sciences,1,84,3,Male,43,2,1,Sales Executive,4,Single,9301,11679,2,Y,No,13,3,3,80,1,5,5,2,9,1,3,9
26,No,Travel_Frequently,1001,Research & Development,23,4,Life Sciences,1,85,4,Male,43,3,2,Laboratory Technician,4,Married,6595,17870,8,Y,No,18,3,2,80,0,22,4,3,31,9,10,2
41,Yes,Travel_Rarely,1024,Sales,8,3,Marketing,1,86,1,Male,62,3,1,Laboratory Technician,4,Married,1877,18734,1,Y,Yes,19,3,2,80,1,25,1,2,3,3,3,3
18,No,Travel_Rarely,238,Research & Development,5,4,Medical,1,87,3,Female,81,3,2,Research Scientist,4,Married,15611,2221,8,Y,No,22,3,2,80,2,2,3,1,21,4,1,8
25,No,Travel_Rarely,468,Research & Development,22,3,Medical,1,88,4,Male,30,3,2,Laboratory Technician,1,Married,6923,11668,0,Y,Yes,15,3,3,80,1,5,5,2,40,10,10,13
41,No,Non-Travel,1013,Research & Development,28,1,Life Sciences,1,89,3,Male,63,3,2,Manager,2,Divorced,9222,14014,3,Y,No,19,3,4,80,3,39,1,3,13,13,6,13
28,No,Travel_Rarely,285,Research & Development,1,4,Other,1,90,2,Male,48,2,1,Sales Executive,1,Married,2912,16486,9,Y,No,11,3,3,80,1,24,4,4,39,4,5,1
34,No,Travel_Rarely,1412,Research & Development,15,1,Life Sciences,1,91,4,Female,53,1,1,Research Director,1,Single,3585,17011,5,Y,No,17,3,3,80,1,16,5,3,8,4,7,8
25,No,Travel_Rarely,573,Research & Development,6,3,Life Sciences,1,92,4,Male,33,4,1,Manager,2,Divorced,15732,25345,6,Y,No,21,3,3,80,2,27,4,2,1,1,1,1
52,No,Travel_Rarely,755,Research & Development,12,2,Life Sciences,1,93,4,Female,65,2,4,Healthcare Representative,3,Divorced,5118,26332,2,Y,No,24,3,3,80,0,31,4,2,1,1,1,1
52,No,Travel_Rarely,850,Research & Development,8,4,Life Sciences,1,94,4,Male,87,2,3,Healthcare Representative,4,Single,19328,4299,8,Y,No,17,3,4,80,2,28,4,3,17,1,15,10
50,Yes,Travel_Rarely,638,Research & Development,13,4,Medical,1,95,4,Male,61,1,2,Research Scientist,4,Married,1624,10607,3,Y,Yes,16,3,3,80,0,22,4,3,0,0,0,0
22,No,Travel_Rarely,903,Research & Development,19,3,Marketing,1,96,2,Male,38,3,1,Healthcare Representative,3,Married,11651,12642,4,Y,No,14,3,3,80,0,40,3,3,14,0,0,6
59,No,Travel_Rarely,1375,Research & Development,27,3,Technical Degree,1,97,1,Male,96,3,3,Research Scientist,4,Single,12785,6473,7,Y,No,23,3,3,80,1,15,1,3,1,1,1,1
56,No,Travel_Rarely,1021,Research & Development,1,4,Technical Degree,1,98,3,Male,49,4,1,Sales Representative,3,Divorced,12519,10161,2,Y,Yes,21,3,4,80,3,31,4,4,39,14,9,7
58,Yes,Travel_Rarely,611,Research & Development,11,1,Medical,1,99,1,Male,91,4,1,Sales Executive,4,Single,2932,13399,7,Y,No,19,4,2,80,1,25,5,2,1,1,1,1
45,No,Travel_Frequently,731,Research & Development,20,4,Medical,1,100,3,Female,87,3,1,Research Scientist,3,Divorced,14411,14242,0,Y,Yes,24,3,2,80,1,32,3,2,9,5,5,9
24,Yes,Travel_Rarely,1103,Research & Development,1,2,Life Sciences,1,101,3,Male,51,3,4,Laboratory Technician,2,Married,7464,24755,7,Y,No,13,3,3,80,2,18,3,3,14,5,13,9
26,Yes,Travel_Frequently,1198,Research & Development,8,5,Medical,1,102,3,Male,96,3,1,Research Scientist,4,Married,8613,14995,9,Y,No,21,3,4,80,0,40,3,2,23,0,6,11
25,No,Travel_Frequently,1407,Research & Development,5,4,Life Sciences,1,103,2,Female,77,2,1,Laboratory Technician,2,Single,9161,12982,7,Y,Yes,25,3,3,80,2,16,4,3,6,6,3,4
29,No,Travel_Rarely,1017,Research & Development,17,4,Life Sciences,1,104,4,Male,37,2,2,Laboratory Technician,3,Single,3782,11802,5,Y,No,21,3,4,80,1,37,0,3,34,4,13,7
51,No,Travel_Rarely,1485,Research & Development,8,3,Life Sciences,1,105,1,Female,44,2,1,Manager,2,Single,11291,13579,4,Y,Yes,11,4,1,80,0,13,4,3,7,7,7,7
50,No,Travel_Rarely,1135,Research & Development,25,3,Medical,1,106,3,Female,61,2,2,Laboratory Technician,3,Single,10785,22802,8,Y,No,25,4,3,80,1,17,5,2,2,2,0,2
40,No,Travel_Rarely,1336,Research & Development,10,3,Medical,1,107,4,Male,82,2,2,Research Scientist,4,Married,19296,16211,5,Y,No,12,3,3,80,0,20,2,4,10,3,2,10
41,No,Travel_Rarely,253,Research & Development,2,1,Human Resources,1,108,4,Female,96,3,2,Research Scientist,1,Divorced,1152,16314,0,Y,No,13,3,3,80,0,38,5,2,13,2,9,13
54,Yes,Travel_Rarely,1130,Research & Development,9,3,Life Sciences,1,109,3,Male,33,4,1,Research Scientist,4,Married,19649,26788,5,Y,No,12,3,4,80,0,38,5,3,8,8,1,4
52,No,Travel_Rarely,1320,Research & Development,24,3,Other,1,110,1,Male,59,3,1,Laboratory Technician,1,Married,18092,18315,0,Y,No,16,3,4,80,0,27,5,1,17,14,13,5
57,No,Travel_Frequently,1408,Sales,23,4,Marketing,1,111,3,Male,42,4,3,Healthcare Representative,2,Married,13410,9175,5,Y,No,23,3,3,80,1,19,3,3,5,5,1,5
39,No,Travel_Rarely,565,Research & Development,3,3,Medical,1,112,1,Male,50,3,4,Sales Executive,1,Divorced,1279,4465,2,Y,No,25,3,3,80,1,5,3,2,0,0,0,0
44,Yes,Travel_Frequently,1238,Human Resources,18,1,Medical,1,113,1,Male,70,3,1,Research Scientist,4,Divorced,9263,7110,5,Y,No,24,3,4,80,1,25,4,3,3,3,3,1
52,No,Travel_Rarely,372,Research & Development,7,2,Life Sciences,1,114,3,Male,48,3,1,Research Scientist,1,Single,2016,8396,5,Y,Yes,17,3,3,80,1,5,3,2,35,7,2,2
18,No,Travel_Frequently,1288,Research & Development,15,3,Technical Degree,1,115,2,Male,77,2,1,Research Scientist,3,Divorced,14724,8476,0,Y,No,15,3,4,80,2,38,1,3,19,14,9,10
52,Yes,Travel_Rarely,561,Research & Development,21,2,Medical,1,116,3,Male,92,2,2,Research Scientist,2,Married,11473,25017,8,Y,No,15,4,4,80,0,25,5,3,2,2,2,2
54,Yes,Travel_Rarely,206,Research & Development,22,2,Other,1,117,3,Male,49,4,3,Manager,1,Divorced,11183,14701,7,Y,No,17,3,3,80,1,16,4,2,0,0,0,0
31,No,Travel_Rarely,1407,Research & Development,20,4,Medical,1,118,4,Male,93,4,1,Research Scientist,4,Married,8212,13546,1,Y,Yes,16,4,4,80,0,39,2,2,4,4,4,4
20,No,Travel_Rarely,263,Research & Development,18,3,Technical Degree,1,119,4,Male,66,1,2,Laboratory Technician,2,Married,4733,24930,1,Y,Yes,22,3,3,80,1,1,0,3,25,0,3,7
18,No,Travel_Rarely,452,Research & Development,25,3,Technical Degree,1,120,3,Male,60,2,3,Manufacturing Director,2,Single,12935,24870,4,Y,No,18,3,2,80,1,20,4,2,1,1,0,1
22,No,Non-Travel,535,Sales,3,3,Life Sciences,1,121,2,Male,47,3,4,Research Scientist,2,Single,8926,23274,9,Y,No,19,3,3,80,2,6,4,4,9,9,9,1
43,No,Travel_Rarely,953,Research & Development,28,4,Life Sciences,1,122,2,Male,49,2,1,Healthcare Representative,3,Married,16748,17959,1,Y,Yes,12,3,2,80,3,19,3,2,3,1,3,3
31,No,Travel_Rarely,241,Research & Development,23,2,Medical,1,123,2,Female,40,3,1,Laboratory Technician,3,Divorced,15624,20919,0,Y,Yes,22,3,3,80,2,2,2,3,17,17,8,13
56,Yes,Travel_Frequently,1257,Research & Development,14,4,Medical,1,124,3,Female,73,2,1,Laboratory Technician,1,Married,6481,3111,1,Y,No,12,3,4,80,0,35,4,3,0,0,0,0
44,No,Travel_Frequently,188,Research & Development,24,1,Life Sciences,1,125,3,Male,93,3,3,Manager,2,Married,8215,22979,4,Y,No,25,3,1,80,0,18,3,3,3,0,3,0
26,No,Travel_Rarely,284,Research & Development,2,4,Human Resources,1,126,3,Female,63,3,3,Research Scientist,3,Divorced,5725,5141,9,Y,No,11,3,1,80,3,29,2,2,14,0,13,12
32,No,Travel_Rarely,469,Sales,14,3,Medical,1,127,3,Male,94,3,2,Sales Representative,2,Married,3629,15586,6,Y,No,17,3,3,80,1,10,3,2,9,7,3,3
32,No,Travel_Rarely,230,Research & Development,22,3,Other,1,128,2,Male,84,2,1,Laboratory Technician,4,Single,19929,12354,4,Y,No,21,4,3,80,3,12,3,4,19,12,10,8
43,No,Travel_Rarely,1371,Sales,11,3,Technical Degree,1,129,3,Female,30,3,1,Manufacturing Director,4,Single,6112,24272,0,Y,Yes,25,3,3,80,1,32,3,3,1,1,1,1
59,No,Travel_Frequently,771,Research & Development,16,3,Medical,1,130,3,Male,67,4,1,Sales Representative,3,Single,11169,15988,6,Y,No,24,3,3,80,3,37,4,3,8,1,8,8
30,No,Non-Travel,250,Research & Development,8,2,Other,1,131,3,Female,38,3,2,Manager,2,Divorced,6326,13951,5,Y,No,14,4,1,80,3,1,3,2,2,2,2,2
49,No,Travel_Frequently,1086,Research & Development,7,4,Medical,1,132,3,Male,100,4,1,Manufacturing Director,4,Divorced,14596,6344,6,Y,Yes,25,3,1,80,1,22,5,1,13,13,2,9
56,No,Travel_Frequently,953,Research & Development,11,2,Human Resources,1,133,3,Male,46,4,1,Healthcare Representative,4,Single,2204,24425,1,Y,No,19,3,4,80,0,19,4,3,1,1,1,0
49,No,Travel_Rarely,729,Sales,3,4,Life Sciences,1,134,3,Male,81,4,3,Laboratory Technician,3,Single,17797,26863,4,Y,No,16,3,2,80,1,29,4,4,1,1,1,1
21,No,Travel_Frequently,547,Sales,17,4,Life Sciences,1,135,3,Male,47,3,1,Laboratory Technician,4,Divorced,18687,9485,7,Y,No,22,3,3,80,3,14,1,2,4,4,4,4
47,No,Travel_Frequently,985,Research & Development,14,3,Medical,1,136,2,Male,92,3,2,Sales Executive,4,Divorced,8877,4540,6,Y,No,17,4,4,80,3,1,4,3,5,0,5,5
54,Yes,Travel_Rarely,395,Sales,6,4,Medical,1,137,1,Male,62,4,1,Sales Executive,3,Married,3828,25601,5,Y,No,23,3,4,80,0,29,5,2,7,7,7,7
40,Yes,Travel_Frequently,1268,Research & Development,8,3,Medical,1,138,3,Female,33,2,3,Manager,2,Married,14705,19877,5,Y,No,17,3,1,80,1,24,3,3,10,9,6,5
56,No,Travel_Rarely,351,Sales,22,1,Medical,1,139,2,Male,81,3,2,Sales Executive,4,Single,8573,12805,0,Y,No,18,4,3,80,2,3,3,3,7,7,1,7
